0,Lord Shadowbane,Monster was born a monster,0,0
1,Infernos the Wyrm,A fallen knight cursed to wander in eternal darkness.,1,1
2,Frostbound Lich King,A dragon born from the fiery core of the earth.,0,0
3,Abyssal Behemoth Khan,An undead sorcerer trapped in eternal winter.,1,1
4,Venomous Hydra Queen,A giant beast ruling the darkest ocean depths.,0,0
5,Voidwalker Eldritch,A serpentine ruler with toxic breath and multiple heads.,1,1
6,Thunderclap Titaness,A mysterious entity from the void between worlds.,0,0
7,Celestial Drake Lord,A giantess who commands the power of storms.,1,1
8,Necrotic Warlock Prince,A dragon with scales that shimmer like the stars.,0,0
9,Embermane Fiendess,"A prince turned necromancer, seeking eternal life.",1,1
