40
Aeris Stormblade
Blaze Nightshade
Caden Firebrand
Dara Moonshadow
Eldon Thunderstrike
Faye Shadowdancer
Galen Swiftwind
Hara Bloodmoon
Ivor Frostguard
Jara Sunfury
Kara Dragonheart
Lorin Starfall
Mara Darkwhisper
Nolan Ironfist
Orin Stormrider
Piper Windrunner
Quinn Shadowhunter
Rylan Brightblade
Soren Stormcaller
Tara Emberstone
Ulric Stormbringer
Vara Shadowcaster
Wyn Silverleaf
Xander Nightblade
Yara Sunwalker
Zane Frostbane
Ayla Stormchaser
Bran Firewalker
Cael Shadowweaver
Drake Emberblade
Eira Frostwind
Finn Shadowblade
Gwen Starstrider
Hale Ironheart
Iris Moonfire
Jace Sunshadow
Kian Stormguard
Lara Windwhisper
Milo Shadowflame
Nia Frostshade
